rcv 	265.65345883369446	133 	300	None
drop	265.65466046333313	None	0	433
Snd 	265.6560146808624	None	0	433
rcv 	267.6609787940979	133 	300	None
drop	267.66197514533997	None	0	433
RTX 	267.6628363132477	None	0	433
rcv 	268.66370677948	133 	300	None
drop	268.6645858287811	None	0	433
RTX 	268.6654124259949	None	0	433
rcv 	269.66632056236267	133 	300	None
RTX 	269.6672999858856	None	0	433
rcv 	270.67103242874146	433 	300	None
drop	270.67210960388184	None	0	733
Snd 	270.6728014945984	None	0	733
rcv 	271.67346835136414	433 	300	None
drop	271.67458963394165	None	0	733
RTX 	271.6752977371216	None	0	733
rcv 	274.68108558654785	433 	300	None
RTX 	274.6822648048401	None	0	733
rcv 	276.6875104904175	733 	300	None
Snd 	276.6884925365448	None	0	1033
rcv 	276.6893470287323	1033	300	None
Snd 	276.6899094581604	None	0	1333
rcv 	277.693284034729	1333	300	None
drop	277.69430327415466	None	0	1633
Snd 	277.6948959827423	None	0	1633
rcv 	278.6955099105835	1333	300	None
RTX 	278.6964621543884	None	0	1633
rcv 	278.6972200870514	1633	300	None
Snd 	278.6979522705078	None	0	1933
rcv 	278.6988594532013	1933	300	None
drop	278.69946551322937	None	0	2233
Snd 	278.70002818107605	None	0	2233
rcv 	280.7040123939514	1933	300	None
drop	280.70513677597046	None	0	2233
RTX 	280.7058627605438	None	0	2233
rcv 	281.70656156539917	1933	300	None
drop	281.7074966430664	None	0	2233
RTX 	281.7155866622925	None	0	2233
