Snd 	265.73738980293274	133 	300	None
drop	266.7417862415314	133 	300	None
RTX 	266.7428469657898	133 	300	None
RTX 	267.7448616027832	133 	300	None
RTX 	268.7474400997162	133 	300	None
RTX 	269.75006222724915	133 	300	None
rcv 	269.75120306015015	None	0	433
drop	269.75186467170715	433 	300	None
Snd 	269.7526431083679	433 	300	None
RTX 	270.75475573539734	433 	300	None
RTX 	271.7570345401764	433 	300	None
drop	272.7592215538025	433 	300	None
RTX 	272.76029992103577	433 	300	None
drop	273.76185035705566	433 	300	None
RTX 	273.76286578178406	433 	300	None
RTX 	274.76481223106384	433 	300	None
rcv 	274.7660937309265	None	0	733
drop	274.7669665813446	733 	300	None
Snd 	274.76758575439453	733 	300	None
drop	275.7684166431427	733 	300	None
RTX 	275.7692301273346	733 	300	None
RTX 	276.7712836265564	733 	300	None
rcv 	276.7723162174225	None	0	1033
Snd 	276.77310943603516	1033	300	None
rcv 	276.7736973762512	None	0	1333
drop	276.7743124961853	1333	300	None
Snd 	276.7750151157379	1333	300	None
RTX 	277.7770526409149	1333	300	None
RTX 	278.77927827835083	1333	300	None
rcv 	278.7801561355591	None	0	1633
Snd 	278.7809383869171	1633	300	None
rcv 	278.7818865776062	None	0	1933
Snd 	278.78249526023865	1933	300	None
drop	279.7846345901489	1933	300	None
RTX 	279.7856798171997	1933	300	None
RTX 	280.78778290748596	1933	300	None
RTX 	281.79030084609985	1933	300	None
drop	282.80033898353577	1933	300	None
RTX 	282.80157566070557	1933	300	None
drop	283.80340600013733	1933	300	None
RTX 	283.80426812171936	1933	300	None
